datetime,open,high,low,close,volume
2022-02-24,152.58,162.85001,152.0,162.74001,141148000.0
2022-02-25,163.84,165.12,160.87379,164.85001,91974000.0
2022-02-28,163.06,165.42,162.42999,165.12,95057000.0
2022-03-01,164.69501,166.60001,161.97,163.2,83474000.0
2022-03-02,164.39,167.36,162.95,166.56,79725000.0
2022-03-03,168.47,168.91,165.55,166.23,76678000.0
2022-03-04,164.49001,165.55,162.10001,163.17,83820000.0
2022-03-07,163.36,165.02,159.03999,159.3,96419000.0
2022-03-08,158.82001,162.88,155.8,157.44,131148000.0
2022-03-09,161.47501,163.41,159.41,162.95,91455000.0
2022-03-10,160.2,160.39,155.98,158.52,105342000.0
2022-03-11,158.92999,159.28,154.5,154.73,96970000.0
2022-03-14,151.45,154.12,150.10001,150.62,108732000.0
2022-03-15,150.89999,155.57001,150.38,155.09,92964000.0
2022-03-16,157.05,160.0,154.46001,159.59,102300000.0
2022-03-17,158.61,161.0,157.63,160.62,75615000.0
2022-03-18,160.50999,164.48,159.75999,163.98,123512000.0
2022-03-21,163.50999,166.35001,163.015,165.38,95811000.0
2022-03-22,165.50999,169.42,164.91,168.82001,81532000.0
2022-03-23,167.99001,172.64,167.64999,170.21001,98063000.0
2022-03-24,171.06,174.14,170.21001,174.07001,90131000.0
2022-03-25,173.88,175.28,172.75,174.72,80546000.0
2022-03-28,172.17,175.73,172.0,175.60001,90372000.0
2022-03-29,176.69,179.00999,176.34,178.96001,100589000.0
2022-03-30,178.55,179.61,176.7,177.77,92633000.0
2022-03-31,177.84,178.03,174.39999,174.61,103049000.0
2022-04-01,174.03,174.88,171.94,174.31,78751000.0
2022-04-04,174.57001,178.49001,174.44,178.44,76546000.0
2022-04-05,177.5,178.3,174.41499,175.06,73402000.0
2022-04-06,172.36,173.63,170.13,171.83,89059000.0
2022-04-07,171.16,173.36,169.85001,172.14,77595000.0
2022-04-08,171.78,171.78,169.2,170.09,76576000.0
2022-04-11,168.71001,169.03,165.5,165.75,72247000.0
2022-04-12,168.02,169.87,166.64,167.66,79265000.0
2022-04-13,167.39,171.03999,166.77,170.39999,70619000.0
2022-04-14,170.62,171.27,165.03999,165.28999,75329000.0
2022-04-18,163.92,166.5984,163.57001,165.07001,69024000.0
2022-04-19,165.02,167.82001,163.91,167.39999,67724000.0
2022-04-20,168.75999,168.88,166.10001,167.23,67930000.0
2022-04-21,168.91,171.53,165.91,166.42,87228000.0
2022-04-22,166.46001,167.8699,161.5,161.78999,84882000.0
2022-04-25,161.12,163.17,158.46001,162.88,96046000.0
2022-04-26,162.25,162.34,156.72,156.8,95623000.0
2022-04-27,155.91,159.78999,155.38,156.57001,88063000.0
2022-04-28,159.25,164.515,158.92999,163.64,130217000.0
2022-04-29,161.84,166.2,157.25,157.64999,131748000.0
2022-05-02,156.71001,158.23,153.27,157.96001,123055000.0
2022-05-03,158.14999,160.71001,156.32001,159.48,88967000.0
2022-05-04,159.67,166.48,159.25999,166.02,108257000.0
2022-05-05,163.85001,164.08,154.95,156.77,130525000.0
2022-05-06,156.00999,159.44,154.17999,157.28,116125000.0
2022-05-09,154.925,155.83,151.49001,152.06,131578000.0
2022-05-10,155.52,156.74001,152.92999,154.50999,115367000.0
2022-05-11,153.5,155.45,145.81,146.5,142690000.0
2022-05-12,142.77,146.2,138.8,142.56,182602000.0
2022-05-13,144.59,148.105,143.11,147.11,113991000.0
2022-05-16,145.55,147.5199,144.17999,145.53999,86644000.0
2022-05-17,148.86,149.77,146.67999,149.24001,78336000.0
2022-05-18,146.85001,147.36011,139.89999,140.82001,109743000.0
2022-05-19,139.88,141.66,136.60001,137.35001,136096000.0
2022-05-20,139.09,140.7,132.61,137.59,137426000.0
2022-05-23,137.78999,143.25999,137.64999,143.11,117726000.0
2022-05-24,140.80499,141.97,137.33,140.36,104133000.0
2022-05-25,138.42999,141.785,138.34,140.52,92483000.0
2022-05-26,137.39,144.34,137.14,143.78,90602000.0
2022-05-27,145.39,149.67999,145.25999,149.64,90979000.0
2022-05-31,149.07001,150.66,146.84,148.84,103718000.0
2022-06-01,149.89999,151.74001,147.67999,148.71001,74287000.0
2022-06-02,147.83,151.27,146.86,151.21001,72348000.0
2022-06-03,146.89999,147.97,144.46001,145.38,88570000.0
2022-06-06,147.03,148.56889,144.89999,146.14,71598000.0
2022-06-07,144.345,149.0,144.10001,148.71001,67808000.0
2022-06-08,148.58,149.86971,147.46001,147.96001,53950000.0
2022-06-09,147.08,147.95,142.53,142.64,69473000.0
2022-06-10,140.28,140.75999,137.06,137.13,91567000.0
2022-06-13,132.87,135.2,131.44,131.88,122207000.0
2022-06-14,133.13,133.89,131.48,132.75999,84784000.0
2022-06-15,134.28999,137.34,132.16,135.42999,91533000.0
2022-06-16,132.08,132.39,129.03999,130.06,107962000.0
2022-06-17,130.065,133.07899,129.81,131.56,134520000.0
2022-06-21,133.42,137.06,133.32001,135.87,81000000.0
2022-06-22,134.78999,137.75999,133.91,135.35001,73409000.0
2022-06-23,136.82001,138.59,135.63,138.27,72434000.0
2022-06-24,139.89999,141.91,139.77,141.66,89117000.0
2022-06-27,142.69501,143.49001,140.965,141.66,70208000.0
2022-06-28,142.13,143.422,137.325,137.44,67315000.0
2022-06-29,137.46001,140.67,136.67,139.23,66242000.0
2022-06-30,137.25,138.37,133.7737,136.72,98964000.0
2022-07-01,136.03999,139.03999,135.66,138.92999,71052000.0
2022-07-05,137.77,141.61,136.92999,141.56,73430000.0
2022-07-06,141.355,144.12,141.08,142.92,74064000.0
2022-07-07,143.28999,146.55,143.28,146.35001,66254000.0
2022-07-08,145.265,147.55,145.0,147.03999,64548000.0
2022-07-11,145.67,146.64,143.78,144.87,63305000.0
2022-07-12,145.75999,148.45,145.05,145.86,77589000.0
2022-07-13,142.99001,146.45,142.1201,145.49001,71186000.0
2022-07-14,144.08,148.95,143.25,148.47,78141000.0
2022-07-15,149.78,150.86,148.2,150.17,76260000.0
2022-07-18,150.74001,151.57001,146.7,147.07001,81421000.0
2022-07-19,147.92,151.23,146.91,151.0,82982000.0
2022-07-20,151.12,153.72,150.37,153.03999,64823000.0
2022-07-21,154.5,155.57001,151.94,155.35001,65087000.0
2022-07-22,155.39,156.28,153.41,154.09,66675000.0
2022-07-25,154.00999,155.03999,152.28,152.95,53624000.0
2022-07-26,152.265,153.08501,150.8,151.60001,55139000.0
2022-07-27,152.58,157.33,152.16,156.78999,78621000.0
2022-07-28,156.98,157.64,154.41,157.35001,81379000.0
2022-07-29,161.24001,163.63,159.5,162.50999,101787000.0
2022-08-01,161.00999,163.59,160.89,161.50999,67829000.0
2022-08-02,160.10001,162.41,159.63,160.00999,59907000.0
2022-08-03,160.84,166.59,160.75,166.13,82507000.0
2022-08-04,166.005,167.19,164.42999,165.81,55474000.0
2022-08-05,163.21001,165.85001,163.0,165.35001,56697000.0
2022-08-08,166.37,167.81,164.2,164.87,60362000.0
2022-08-09,164.02,165.82001,163.25,164.92,63136000.0
2022-08-10,167.67999,169.34,166.89999,169.24001,70171000.0
2022-08-11,170.06,170.99001,168.19,168.49001,57149000.0
2022-08-12,169.82001,172.17,169.39999,172.10001,68039000.0
2022-08-15,171.52,173.39,171.345,173.19,54092000.0
2022-08-16,172.78,173.71001,171.6618,173.03,56377000.0
2022-08-17,172.77,176.14999,172.57001,174.55,79542000.0
2022-08-18,173.75,174.89999,173.12,174.14999,62290000.0
2022-08-19,173.03,173.74001,171.3101,171.52,70346000.0
2022-08-22,169.69,169.86,167.13499,167.57001,69027000.0
2022-08-23,167.08,168.71001,166.64999,167.23,54147000.0
2022-08-24,167.32001,168.11,166.245,167.53,53842000.0
2022-08-25,168.78,170.14,168.35001,170.03,51218000.0
2022-08-26,170.57001,171.05,163.56,163.62,78961000.0
2022-08-29,161.145,162.89999,159.82001,161.38,73314000.0
2022-08-30,162.13,162.56,157.72,158.91,77906000.0
2022-08-31,160.30499,160.58,157.14,157.22,87991000.0
2022-09-01,156.64,158.42,154.67,157.96001,74230000.0
2022-09-02,159.75,160.362,154.965,155.81,76958000.0
2022-09-06,156.47,157.09,153.69,154.53,73715000.0
2022-09-07,154.825,156.67,153.61,155.96001,87450000.0
2022-09-08,154.64,156.36,152.67999,154.46001,84924000.0
2022-09-09,155.47,157.82001,154.75,157.37,68081000.0
2022-09-12,159.59,164.25999,159.3,163.42999,104956000.0
2022-09-13,159.89999,160.53999,153.37,153.84,122657000.0
2022-09-14,154.785,157.10001,153.6106,155.31,87965000.0
2022-09-15,154.64999,155.24001,151.38,152.37,90481000.0
2022-09-16,151.21001,151.35001,148.37,150.7,162279008.0
2022-09-19,149.31,154.56,149.10001,154.48,81474000.0
2022-09-20,153.39999,158.08,153.08,156.89999,107690000.0
2022-09-21,157.34,158.74001,153.60001,153.72,101697000.0
2022-09-22,152.38,154.47,150.91,152.74001,86653000.0
2022-09-23,151.19,151.47,148.56,150.42999,96030000.0
2022-09-26,149.66,153.7701,149.64,150.77,93339000.0
2022-09-27,152.74001,154.72,149.94501,151.75999,84443000.0
2022-09-28,147.64,150.6414,144.84,149.84,146691008.0
2022-09-29,146.10001,146.72,140.67999,142.48,128138000.0
2022-09-30,141.28,143.10001,138.0,138.2,124925000.0
2022-10-03,138.21001,143.07001,137.685,142.45,114312000.0
2022-10-04,145.03,146.22,144.25999,146.10001,87830000.0
2022-10-05,144.075,147.38,143.00999,146.39999,79471000.0
2022-10-06,145.81,147.53999,145.22,145.42999,68402000.0
2022-10-07,142.53999,143.10001,139.44501,140.09,85926000.0
2022-10-10,140.42,141.89,138.57291,140.42,74899000.0
2022-10-11,139.89999,141.35001,138.22,138.98,77034000.0
2022-10-12,139.13,140.36,138.16,138.34,70434000.0
2022-10-13,134.99001,143.59,134.37,142.99001,113224000.0
2022-10-14,144.31,144.52,138.19,138.38,88598000.0
2022-10-17,141.065,142.89999,140.27,142.41,85251000.0
2022-10-18,145.49001,146.7,140.61,143.75,99137000.0
